RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-111.78,0.0787345,6.0,0.0700524999999999,14.0,10.19,19.02,81804.0,2006.0,75.35,15.74,0.3,14.8491,0.2832,14,59.0
-111.0,0.0715,6.0,0.0677736,14.0,13.49,18.895,83983.0,3708.0,146.72,15.51,1.81,14.6321,1.7078,16,18.0
-111.0,0.0662805,6.0,0.0609365,14.0,10.5,18.5,79021.0,2494.0,97.87,17.05,0.89,16.085,0.8397,19,177.0
-111.0,0.0590773999999999,6.0,0.0552847,14.01,9.25,19.59,84469.0,2184.0,75.7,17.14,1.19,16.1698,1.1227999999999998,14,61.0
-111.0,0.053048,6.0,0.0499326,15.0,12.4,21.365,72356.0,3475.0,142.57,13.21,0.67,12.4624,0.6323,15,67.0
-111.0,0.0480040999999999,6.79,0.0571708,15.0,17.9,19.37,82205.0,3736.0,224.0,15.93,1.06,15.0284,1.0001,30,62.0
-111.0,0.0450526,7.0,0.0868319999999999,15.0,8.3,20.88,78939.0,2394.0,78.54,13.1,0.54,12.3586,0.5096,8,58.0
-111.38709677419357,0.0440568,7.0,0.0885255999999999,4.35,10.64,23.615,80187.0,1371.0,324.81,15.44,7.54,14.5661,7.114,16,56.0
-114.0,0.0410119999999999,7.0,0.0795884,0.0,17.94,19.085,81476.0,1625.0,101.95,13.95,8.27,13.1605,7.801900000000001,14,56.0
-114.0,0.037184,7.0,0.0715601999999999,0.0,50.93,20.44,96658.0,8380.0,2355.2,13.72,43.5,12.943499999999998,41.0386,21,56.0
-114.0,0.0335708,7.0,0.064275,0.0,54.48,20.85,102371.0,7206.0,2058.13,12.62,33.07,11.9056,31.1991,18,58.0
-114.97,0.030152,7.0,0.057788,0.0,23.08,20.59,70699.0,2060.0,101.23,11.33,5.42,10.6888,5.1133,19,54.0
-115.0,0.0272847999999999,7.0,0.0519036,0.14,21.71,20.755,100660.0,1757.0,90.24,18.69,5.0,17.6321,4.7171,19,53.0
-115.0,0.0250759999999999,7.0,0.0466689999999999,1.15,20.13,18.85,77674.0,2935.0,152.34,13.82,2.34,13.0378,2.2076,11,56.0
-115.0,0.0227515999999999,7.0,0.0419584,2.16,21.44,18.82,78114.0,4539.0,255.98,13.09,7.89,12.349200000000002,7.4435,6,58.0
-115.0,0.02102,7.0,0.0382647999999999,3.03,11.65,22.195,354.0,3343.0,186.15,0.1,3.49,0.0944,3.2924,50,76.0
-115.0,0.0190292,7.0,0.034194,4.1,19.12,22.41,266783.0,8166.0,398.1,43.71,6.12,41.2358,5.7738,31,72.0
-115.0,0.01703,7.0,0.030739,5.11,15.62,22.33,57251.0,2506.0,113.15,8.03,2.07,7.5755,1.9529,9,54.0
-115.0,0.01527,7.0,0.027644,6.12,10.44,23.0,119732.0,3076.0,134.28,20.11,1.12,18.9717,1.0567,24,59.0
-115.0,0.0136934,7.0,0.0248272,7.14,15.74,22.195,84402.0,2270.0,99.59,12.75,2.79,12.0283,2.6323000000000003,12,59.0
-115.53763440860214,0.01241,7.0,0.02266,8.0,13.3,22.035,44546.0,2031.0,83.74,6.56,1.21,6.1888,1.1417,17,33.0
-116.0,0.0112567999999999,7.0,0.0207077999999999,8.86,16.8,19.21,115466.0,2701.0,123.5,19.73,1.81,18.6133,1.7076,22,29.0
-116.0,0.0100710999999999,7.0,0.0186152,9.87,11.19,17.655,48018.0,1941.0,77.22,7.55,0.79,7.1227,0.7454,16,167.0
-116.0,0.0090904,7.0,0.0167396,10.88,14.19,18.065,126906.0,2841.0,123.02,17.96,1.59,16.9433,1.5001,22,63.0
-116.0,0.0081621999999999,7.0,0.0150349999999999,11.9,10.95,19.69,62922.0,2160.0,81.36,9.97,1.59,9.4057,1.5001,20,56.0
-116.0,0.0072935,7.0,0.0135141,12.91,9.85,18.365,104016.0,2245.0,96.68,19.25,0.86,18.1605,0.8117,16,58.0
-116.0,0.0066,7.0,0.0121337999999999,13.93,13.7,18.235,82297.0,3273.0,127.14,14.94,0.61,14.0944,0.5755,22,32.0
-116.0,0.0061247999999999,7.0,0.0205419999999999,14.65,7.5,20.92,64502.0,1447.0,52.75,11.06,0.05,10.4341,0.0472,9,80.0
-116.0,0.005484,7.0,0.0234633999999999,15.66,9.02,22.895,100775.0,2534.0,94.18,15.95,0.67,15.0472,0.6323,14,37.0
-116.0,0.0051598,7.0,0.0250716,16.68,10.78,22.07,89770.0,3058.0,148.13,14.52,0.2,13.6982,0.1888,28,83.0
-116.0,0.0047524,7.0,0.0306943,17.69,7.98,22.74,97357.0,2052.0,50.62,12.9,0.57,12.1698,0.5379999999999999,15,55.0
-116.0,0.0042784,7.0,0.055408,18.0,12.1,22.565,71259.0,2889.0,171.71,9.88,0.52,9.3208,0.4906,19,62.0
-116.0,0.0038376,7.0,0.1193631999999999,18.0,9.77,21.63,98177.0,2264.0,120.9,13.55,1.45,12.783,1.3681,20,57.0
-116.8494623655914,0.00351,7.0,0.169902,17.26,9.5,20.835,35999.0,2690.0,113.61,4.46,0.5,4.2077,0.472,26,39.0
-116.0,0.003237,7.0,0.195629,16.3,11.5,21.11,88697.0,5427.0,316.67,14.95,1.56,14.1038,1.4717000000000002,6,75.0
-116.0,0.0029936,7.0,0.1905006,15.23,7.72,22.49,50913.0,6948.0,268.9,7.34,0.73,6.924600000000001,0.6888,24,61.0
-116.0,0.0026692,7.0,0.1724139999999999,14.22,17.75,21.935,246843.0,4970.0,232.45,40.83,1.13,38.5191,1.0663,25,53.0
-116.0,0.0024378,7.0,0.1550042999999999,13.21,10.88,20.665,70828.0,2908.0,84.71,11.47,0.57,10.821,0.5379,26,61.0
-116.0,0.0049123999999999,7.0,0.1391984999999999,13.0,10.5,19.04,88767.0,2352.0,91.1,14.74,0.59,13.9059,0.5567,19,73.0
-116.0,0.0081289999999999,7.0,0.1250070999999999,13.0,10.85,20.01,69258.0,2702.0,100.63,10.33,1.16,9.7455,1.0945,24,25.0
-116.0,0.0073235,7.0,0.1136101999999999,13.0,13.0,21.99,90196.0,3058.0,124.25,15.11,1.22,14.255,1.1511,30,62.0
-116.0,0.0066378,7.0,0.1020296,13.0,11.41,21.68,68551.0,2813.0,111.08,14.71,0.45,13.8777,0.4246999999999999,13,1.0
-116.0,0.0059619999999999,7.0,0.0922231999999999,13.0,9.43,20.66,86864.0,2144.0,78.26,16.51,0.35,15.5759,0.3303999999999999,23,198.0
-116.0,0.0053939999999999,7.0,0.0832714,13.0,14.47,17.66,98578.0,3580.0,146.11,13.4,1.29,12.6416,1.2170999999999998,23,54.0
-116.0,0.0124399999999999,7.0,0.074865,13.0,10.49,19.045,68264.0,2340.0,92.48,10.18,1.59,9.604,1.5,20,61.0
-116.29347826086956,0.0247678,7.0,0.0673025,13.0,9.89,20.545,118938.0,2419.0,86.88,20.49,0.5,19.3304,0.4718,23,48.0
-117.0,0.0243319,7.0,0.0604403999999999,13.0,10.79,19.73,52274.0,2448.0,107.19,9.83,1.82,9.2738,1.7172,27,54.0
-117.0,0.0226,7.0,0.0543362,13.0,8.3,18.525,71221.0,1793.0,59.8,11.96,0.1,11.2833,0.0944,25,56.0
-117.0,0.0205434,7.0,0.0487972,13.76,11.05,19.205,105037.0,2743.0,110.63,14.85,0.38,14.0097,0.3586999999999999,31,60.0
-117.0,0.0207999999999999,7.0,0.0438724999999999,14.77,11.6,19.165,63269.0,2842.0,117.7,10.54,0.2,9.9435,0.1888,13,56.0
-117.0,0.0189072,7.0,0.0446680999999999,15.79,9.7,21.74,81582.0,2704.0,103.1,14.59,0.93,13.7643,0.8776,33,60.0
-117.0,0.0170183,7.0,0.0600179999999999,16.0,11.27,21.92,119419.0,2814.0,123.71,18.41,0.73,17.368,0.6888000000000001,21,57.0
-117.0,0.0157243999999999,7.0,0.0633282,16.0,9.93,21.78,82238.0,2790.0,91.7,14.24,0.54,13.4343,0.5096,25,32.0
-117.0,0.0145315999999999,7.0,0.0639206,16.0,14.53,22.265,48163.0,4286.0,207.96,8.15,0.95,7.6888,0.8964,24,79.0
-117.0,0.0134856,7.0,0.0586114999999999,16.0,9.94,21.485,35665.0,7731.0,338.58,6.63,1.32,6.2549,1.2453999999999998,3,55.0
-117.0,0.0124059999999999,7.0,0.0679027999999999,16.0,8.65,20.615,209696.0,4273.0,205.92,30.41,1.42,28.6888,1.3397,42,37.0
-117.0,0.0126390999999999,7.0,0.0894538,16.0,14.33,19.95,123294.0,4051.0,197.89,26.51,1.03,25.0101,0.9718,50,81.0
-117.0,0.0114445,7.0,0.0989046,16.0,11.05,21.675,57180.0,3052.0,111.88,7.97,0.27,7.5192,0.2547999999999999,19,61.0
-117.0,0.0102003999999999,7.0,0.1024115999999999,16.0,11.2,20.29,98075.0,3081.0,144.07,14.73,1.24,13.8967,1.17,28,58.0
-117.0,0.0091656,7.0,0.1191815,16.0,11.68,18.43,81940.0,3245.0,146.07,18.77,0.56,17.708,0.5284,19,29.0
-117.0,0.0082405,7.0,0.1195816,16.0,7.88,18.965,65484.0,1987.0,68.74,10.77,0.69,10.1607,0.6512,12,55.0
-117.0,0.0074072,7.0,0.145073,16.0,11.58,20.24,97719.0,3505.0,152.22,18.44,0.88,17.3965,0.8303999999999999,32,66.0
-117.0,0.0067081999999999,7.0,0.1583458,15.14,10.65,19.925,87619.0,2641.0,107.25,18.83,0.82,17.764300000000002,0.7738,29,114.0
-117.0,0.0060297,7.0,0.1515571999999999,14.12,13.56,22.15,95153.0,3099.0,133.73,14.76,1.84,13.9248,1.7361000000000002,14,65.0
-117.0,0.0062796,7.0,0.1426169,14.0,13.81,20.905,66250.0,3711.0,146.58,10.66,1.27,10.0567,1.1983,25,55.0
-117.0,0.0079168,7.0,0.1287553,14.0,11.13,19.61,75534.0,2700.0,111.42,18.33,0.99,17.293,0.9343,18,31.0
-117.0,0.0070691,7.0,0.1157499999999999,14.0,11.4,19.88,38816.0,2753.0,101.07,5.22,0.45,4.9248,0.4246,21,76.0
-117.0,0.0063754,7.0,0.1045217,14.0,13.26,20.385,129807.0,3925.0,177.41,19.95,1.87,18.821,1.7644,32,58.0
-117.0,0.0057488999999999,7.0,0.0987284999999999,14.0,11.97,21.68,90517.0,2959.0,114.21,17.77,0.82,16.7647,0.7737,22,28.0
-116.38,0.005171,7.0,0.089034,14.0,9.07,22.025,67595.0,2087.0,68.66,13.0,0.47,12.2647,0.4434999999999999,21,68.0
-116.0,0.0046511999999999,7.0,0.0799572,14.0,14.01,20.585,104555.0,2913.0,133.45,20.99,0.46,19.8023,0.4341,19,82.0
-116.0,0.0041780999999999,7.0,0.0718079999999999,14.0,10.35,21.25,92580.0,2918.0,93.39,14.19,1.15,13.3873,1.0851,33,28.0
-116.0,0.0037574,7.0,0.0644262,14.0,12.99,21.28,85524.0,3006.0,126.69,17.24,0.72,16.264400000000002,0.6792999999999999,24,48.0
-116.0,0.0034195,7.0,0.0579272,14.0,10.58,18.96,49159.0,4844.0,218.34,9.61,1.41,9.0664,1.3304,19,77.0
-116.0,0.0030988,7.0,0.0520785,14.05,8.18,20.035,29299.0,4653.0,225.21,6.92,2.52,6.5286,2.3774,3,59.0
-116.0,0.0027768,7.0,0.0471302999999999,15.07,10.0,22.04,134066.0,5452.0,226.59,28.03,0.93,26.444000000000003,0.8775,39,65.0
-116.0,0.0024954,7.0,0.0474468,16.09,11.02,21.99,176575.0,3512.0,137.97,33.02,0.93,31.1516,0.8775,45,55.0
-116.0,0.0022679999999999,7.0,0.048552,17.0,8.9,19.655,90437.0,2901.0,110.67,17.88,0.69,16.868299999999998,0.6511999999999999,30,76.0
-116.0,0.0020552999999999,7.0,0.0583572999999999,17.0,8.6,18.72,89130.0,2218.0,95.81,18.19,0.76,17.160899999999998,0.7172,23,46.0
-116.0,0.002301,7.0,0.0941932999999999,17.0,9.22,19.33,79696.0,2693.0,109.25,15.18,1.15,14.3211,1.0851,16,44.0
-116.0,0.0047807999999999,7.0,0.1132584,17.0,7.56,20.095,42531.0,1940.0,70.73,11.11,0.69,10.4814,0.6511,29,55.0
-116.0,0.0042812999999999,7.0,0.1283056,17.0,11.15,20.5,116417.0,3096.0,147.27,18.26,1.4,17.2271,1.3208000000000002,15,4.0
-116.0,0.0038899999999999,7.0,0.1420054999999999,16.83,11.75,22.12,85424.0,3359.0,158.84,17.42,0.65,16.4345,0.6134,27,118.0
-116.0,0.0035195,7.0,0.1659663,15.81,7.92,21.12,68687.0,1717.0,66.15,12.87,0.49,12.1417,0.4625,21,119.0
-116.0,0.003178,7.0,0.1652,14.8,10.66,20.44,114447.0,3071.0,119.6,20.08,0.54,18.944,0.5095000000000001,23,35.0
-116.0,0.0029227999999999,7.0,0.1624635999999999,14.0,11.18,20.29,64700.0,2644.0,96.11,12.38,1.69,11.6794,1.5945000000000005,30,76.0
-116.0,0.0026508,7.0,0.1472736,14.0,9.87,19.87,80292.0,2544.0,93.19,16.35,0.58,15.4249,0.5473,28,33.0
-116.0,0.0024043999999999,7.0,0.1364648,14.0,11.23,20.8,101980.0,2910.0,114.65,14.21,0.56,13.4061,0.5285,19,51.0
-116.0,0.0021623999999999,7.0,0.1225666,14.0,10.26,21.53,81621.0,2569.0,94.48,15.2,0.74,14.34,0.6982,31,82.0
-116.0,0.0019923,7.0,0.1100804,14.0,10.02,20.49,69260.0,2117.0,88.47,12.24,1.07,11.5475,1.0095,25,37.0
-116.0,0.0018049,7.0,0.1005002999999999,14.0,8.71,20.83,61597.0,2282.0,68.42,12.44,0.51,11.736299999999998,0.4812999999999999,30,58.0
-116.0,0.0016412,7.0,0.093993,14.0,12.8,21.825,115850.0,3332.0,142.35,21.52,0.98,20.3025,0.9246,12,74.0
-116.0,0.0014725,7.0,0.0845063999999999,14.0,13.31,19.395,80754.0,3072.0,129.34,16.69,0.78,15.7455,0.7361,19,58.0
-116.0,0.0013236,7.0,0.0775976,14.0,8.56,20.32,57692.0,4904.0,236.88,8.21,1.61,7.7457,1.5189,16,53.0
-116.0,0.00122,7.0,0.078895,14.0,7.32,18.63,708.0,6881.0,316.86,0.0,0.56,0.0,0.5285,12,56.0
-116.0,0.0011048,7.0,0.0860235999999999,14.0,14.42,19.875,187014.0,4005.0,175.29,30.93,0.87,29.1801,0.8209000000000001,20,58.0
-116.0,0.000988,7.0,0.0884946,14.0,12.59,21.41,192904.0,3432.0,168.97,40.49,1.17,38.1992,1.104,53,53.0
-116.0,0.0008872999999999,7.0,0.088208,14.0,13.95,18.95,86493.0,3422.0,124.85,16.22,0.66,15.3024,0.6228,37,41.0
-116.0,0.0008,7.0,0.0881743999999999,14.0,9.95,20.715,76292.0,2429.0,103.89,18.49,0.75,17.4439,0.7078,12,79.0
-116.0,0.0007247999999999,7.0,0.0888146,14.0,8.85,18.52,75790.0,2126.0,81.92,19.73,1.0,18.6136,0.9436,33,56.0
-116.0,0.0006527999999999,7.0,0.0855996,14.0,11.35,18.925,84547.0,3289.0,107.19,18.73,1.21,17.6705,1.1418,22,39.0
-116.0,0.0005862999999999,7.0,0.0803722,14.0,10.45,19.73,88581.0,2555.0,95.96,15.95,0.3,15.0476,0.2832,17,1.0
